cell_id,group
aabfkocm-1,Smooth Muscle Cells
aabfljli-1,Smooth Muscle Cells
aabfobja-1,Tumor2
aabfodck-1,Mast Cells
aabfonah-1,Mast Cells
aabfpiki-1,Smooth Muscle Cells
aabgeljc-1,Tumor2
aabgfbml-1,Macrophages
aabghgbk-1,Smooth Muscle Cells
aabgkiod-1,Smooth Muscle Cells
aabglldn-1,Mast Cells
aabgmcin-1,Endothelial
aabgnapb-1,T Cells
aabgocbo-1,Mast Cells
aabgohgi-1,T Cells
aabhbcho-1,Macrophages
aabhbpah-1,Plasma Cells
aabheplp-1,Macrophages
aabhkpoe-1,T Cells
aabhloop-1,Plasma Cells
aabhnaof-1,T Cells
aabhoadm-1,Tumor2
aabhopfb-1,Smooth Muscle Cells
aabiakbm-1,Tumor2
aabiakhn-1,Mast Cells
aabiaodg-1,Mast Cells
aabibbkb-1,Tumor2
aabibfli-1,Mast Cells
aabibikl-1,Tumor2
aabibkoc-1,Smooth Muscle Cells
aabifejj-1,Tumor2
aabifobk-1,Tumor2
aabigcab-1,Tumor2
aabiggml-1,Tumor2
aabigndp-1,Smooth Muscle Cells
aabiiaej-1,Tumor2
aabijcof-1,Tumor2
aabileeg-1,Tumor2
aabinapk-1,Smooth Muscle Cells
aabiodnd-1,Tumor1
aabioeni-1,Tumor2
aabipjfn-1,Macrophages
aabjajka-1,Smooth Muscle Cells
aabjbnld-1,Smooth Muscle Cells
aabjconh-1,Tumor2
aabjfgbg-1,Smooth Muscle Cells
aabjifjp-1,Tumor2
aabjkddl-1,Tumor2
aabjlbke-1,Tumor2
aabkadkb-1,Tumor2
aabkfgke-1,Tumor2
aabkhdkb-1,Tumor2
aabkhhfm-1,Tumor2
aabkimpm-1,Tumor2
aabkmkhl-1,Macrophages
aabkmmpc-1,Mast Cells
aabkokji-1,Adipocytes
aabkpnmp-1,Mast Cells
aablcaim-1,Tumor2
aabldfld-1,T Cells
aabldnik-1,Tumor2
aablhdjh-1,Macrophages
aablipkb-1,Endothelial
aabljedf-1,T Cells
aabljhbc-1,Macrophages
aablkloi-1,Endothelial
aablohop-1,Tumor2
aabmbccg-1,Tumor2
aabmchne-1,Tumor2
aabmdlml-1,T Cells
aabmfaaa-1,Smooth Muscle Cells
aabmgiee-1,Tumor2
aabmhfmf-1,Tumor2
aabmilop-1,Tumor2
aabmjgkn-1,Tumor2
aabmklcb-1,T Cells
aabmlhnd-1,Tumor2
aabmlpjd-1,Adipocytes
aabmnkbi-1,Macrophages
aabmnpag-1,Tumor2
aabmokae-1,Tumor2
aabmpbpe-1,Tumor2
aabnggja-1,Mast Cells
aabninbe-1,Tumor2
aabnjgdc-1,Tumor2
aabnlalm-1,Endothelial
aabnmclo-1,Tumor2
aabnpikn-1,Tumor2
aabnpkep-1,Tumor2
aabnpohj-1,Tumor2
aabnppln-1,Tumor2
aabocgph-1,Tumor2
aabodnam-1,Smooth Muscle Cells
aaboedeo-1,T Cells
aaboeema-1,Mast Cells
aabogeif-1,Macrophages
aabonojm-1,Tumor2
aabpcoap-1,Tumor2
aabpfjjk-1,Tumor2
aabpifom-1,Tumor1
aabpjbjd-1,Tumor2
