SYMBOL,Log2FC
SAMD9L,5.130931818871446
SFMBT2,4.816391469
ESAM,4.6986163281607665
AKAP12,4.672787746094608
LHFPL6,5.529925306506026
MSR1,5.068519211702881
FXYD6,4.294440444519575
CAV2,4.450822927834964
CLIC4,3.9601758997313783
RAB34,4.611032774444064
PDGFC,4.822047871908024
KCTD12,4.444674388021944
EMP3,4.087667913993279
AQP1,3.904586313619477
ITGAX,5.227851544215348
DRAM1,4.830696749796826
SLCO2A1,4.427320821271676
DAPK1,5.182939122339775
RCSD1,4.893432505
TRAC,4.594441221534585
ASPN,5.009797261836573
AKR1B1,4.388019331600507
GPR34,5.018963387228647
CD84,5.4459735281735675
CDH6,5.521463728
CXCL10,5.040567791218781
GIMAP7,5.0553201875216836
VEGFC,6.3140081879650625
AFAP1L2,4.855957799726125
SERPINF1,3.6716410815428766
C3AR1,5.078846013856108
MAF,4.4652740841325045
JCAD,5.223581106837119
FMNL3,5.030936028894725
IFI44L,4.296397172123058
SLC11A1,5.243121293232765
OLFML2A,4.100323832941049
INSC,5.874067180277859
ADGRA2,4.436277029563204
DOK2,5.4094476521484545
TEK,6.24706946
CRIP2,4.537070913193553
CSPG4,5.478395005865945
WNT5A,4.271944128
CYGB,4.783008515451138
KDM5D,5.175575733926287
SOCS3,3.961574994019695
EVC,5.2153606000321515
APOL1,4.4221267862191995
FOXF1,5.099883382612215
SHISA2,4.872673944977992
ARHGEF6,5.175575733926287
LCP2,4.939788141
MSRB3,4.534978534232312
PODN,4.875838445
FAM20C,3.9619638868156044
S1PR1,5.783554887372416
ACP5,4.0870932079379205
MYLK,3.6261171019831195
CHST11,4.709007934007361
TNS2,4.138376453995686
HOPX,5.061470397042836
COLEC12,4.632615924560813
CMTM3,3.5160437110485354
EDNRB,5.2278515442153495
ADAMTS14,4.422360970951617
BMP8A,4.226856239
TRIB2,4.998925633992102
MMRN2,5.31873834
DYSF,4.856906629119675
AGT,4.963821833036187
FRZB,5.035160615
TGM2,3.7192580307011185
ATP8B2,4.658967251507765
DPYD,5.035451510017216
VCAM1,5.1564669109785815
CACNA1H,5.1660529598077805
MFAP5,5.461321492507004
DCLK2,4.939236194757914
CD53,5.004463817533534
ARHGEF15,7.141360018588374
POSTN,4.827265581179043
SLFN5,3.845679373696421
PRRX1,5.550130759
FGD5,5.026406370414209
IFI30,3.300775612633632
JAM3,4.966364028
ANPEP,5.023200380115119
LRRC15,4.884662295517057
SERPINE2,5.8302386786575955
NXN,5.178161982077901
MXRA5,4.334005097
BEX4,4.554226418825592
PCDH17,5.234469422979856
SLA,4.8849210052892715
KIAA1755,4.903347974009871
CDH5,5.2863471935254935
CFH,4.775037804342558
FBLN5,5.063357506587102
COL10A1,4.455480613917944
NOTCH3,3.357104779674509
SEPTIN4,4.797217189885487
C2orf74,5.145974537160941
HK3,5.295120450764614
IL1RN,5.052239542102946
IGSF6,4.793896831593875
CLEC7A,5.519036990363292
