SYMBOL,Log2FC
ADAMDEC1,-5.682188402
MRC1,-6.121389421
FGL2,-5.122966014
SLFN5,-4.236280523
THBD,-5.393210729
CSF1,-5.224845628
OLR1,-5.157002338
ATP8B2,-5.322943865
VCAM1,-5.273669197
LRRC15,-5.562600705
ADGRA2,-4.542302227
CAV2,-4.623526956
KDR,-5.426825009
MAFB,-4.892877929
ID3,-4.57671545
PALLD,-3.861726133
HK3,-5.381528924
LOXL1,-4.4205817
CFH,-5.836230641
MEIS1,-4.657437937
FOXF1,-5.74445439
FAM20C,-4.267558962
CDK14,-5.622745219
DPYSL3,-4.370682587
S1PR3,-4.999173528
CD53,-5.101537902
GUCY1A1,-5.206840976
CYBRD1,-5.006187606
GGT5,-5.559108264
CNN1,-4.778864421
CCL18,-5.636420156
SEPTIN5,-5.113614132
ADGRF5,-5.654027309
SCARF2,-4.934561998
ITIH5,-5.139454136
ZNF521,-5.574877584
AQP1,-3.866636092
BMP8A,-4.815390297
PLA2G7,-4.376105252
ACP5,-4.281030348
RAMP3,-5.448998507
LCP2,-4.831331841
HMCN1,-6.626861328
CHI3L1,-5.256637676
FXYD6,-4.517671362
NTM,-5.879337214
SOCS3,-4.115785231
TRBC2,-4.964814847
IL1RN,-4.960518321
PLPP4,-6.09006611
CMTM3,-3.739019198
GASK1B,-4.786726539
WNT5A,-4.612633903
FBLN5,-5.871973826
TUBB6,-5.532990567
HCLS1,-4.98423074
ANOS1,-5.365013837
DDR2,-4.834880908
GPX8,-5.529867849
DRAM1,-4.682188402
LAIR1,-5.20840149
CCL5,-4.841773588
PRELP,-5.861920161
NXN,-6.141434501
RSAD2,-5.881957914
CCN2,-3.635001716
CCDC80,-3.843322042
C3AR1,-5.188883846
WWTR1,-5.293782283
ITGB3,-5.144489726
GPR34,-4.844710871
ARHGEF25,-5.198608923
CD84,-5.319909805
IFI6,-3.55482738
RCSD1,-5.088107256
TGM2,-3.931376312
MXRA5,-4.734848317
IFIT3,-3.921925648
IL7R,-4.682940001
NLRP1,-5.581353588
TMEM158,-4.593832527
CMPK2,-4.269733333
CDKN2B,-5.046344732
SLC11A1,-4.987451043
CHST11,-4.671095896
CRIP2,-4.742795167
CAVIN1,-4.292724976
VSIG4,-5.736694967
ANPEP,-5.068371038
SFMBT2,-4.604639282
CLEC14A,-5.751897374
SELENOM,-3.610123412
LOX,-4.207322436
BHLHE41,-5.36793132
KLHL6,-5.568297435
TANC2,-4.999398896
IFIT1,-4.147551604
ID4,-5.471958517
ENG,-3.442929468
CCDC102B,-5.205727356
TRIB2,-5.217456648
ADGRL2,-5.817526042
VSTM4,-5.717873791
EVI2B,-4.811568586
LBH,-3.742150483
CHIT1,-5.925796525
ADAMTS14,-4.778864421
CPXM1,-5.046344732
ST8SIA4,-5.061731841
FSCN1,-4.672265355
SPHK1,-4.306012287
KDM5D,-5.289321486
MOXD1,-4.813297918
CACNA1H,-5.426075363
LHFPL6,-5.374474166
NDUFA4L2,-5.441385323
ARL4C,-3.747414128
VAMP5,-4.29145723
CYYR1,-5.657613267
CPQ,-4.123988651
PIK3AP1,-4.505434844
TUSC3,-5.268863978
TIMP3,-3.240858774
SPECC1,-4.546542883
BEX4,-5.040278731
SLAMF8,-5.87483348
KIAA1755,-5.199826754
EDIL3,-3.935997754
JAM3,-5.252082992
RBMS3,-5.39901635
IGFBP6,-5.093324966
TBX2,-5.228335418
IFI30,-3.24602751
GIMAP7,-5.018663119
XAF1,-3.749971395
ECSCR,-5.885779625
JAK3,-5.147359335
GLI3,-5.584691874
FGR,-5.047060532
NLGN2,-5.029782541
CD37,-5.123512593
CD109,-5.5122634
DAPK1,-5.266051706
CALHM6,-5.052774183
LMO2,-5.316758668
CCL2,-4.698576632
